,id,name,host_id,host_since,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_listings,reviews_per_month,price_group
4618,21256889,Room with balcony on ground floor in apartment,47869718,2015-11-01,"Groendal, Stockholms laen, Sweden",Haegersten-Liljeholmen,Groendal,Stockholms laen,117 65,Sweden,5.931.455,1.800.992,Apartment,1.0,284.0,1,0,4,100.0,1,0,Low Price
4621,21263443,Perfectly located in Soedermalm,12071088,2014-02-09,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 37,Sweden,5.931.628,1.802.902,Apartment,0.0,745.0,4,5,21,99.0,1,0,Middle Price
4622,21272381,"Lugnt boende naera barer, restauranger & shopping",30296152,2015-03-30,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 27,Sweden,5.931.165,1.807.013,Apartment,3.0,1246.0,2,0,3,100.0,1,0,High Price
4623,21274221,Private 2-room flat at the heart of Soedermalm,11354952,2014-01-16,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 29,Sweden,5.931.385,1.806.987,Apartment,1.0,902.0,2,0,2,100.0,1,0,Middle Price
4624,21278549,Amazing apartment close to both city and nature,31675809,2015-04-21,"Skaerholmen, Stockholms laen, Sweden",Skaerholmen,Skaerholmen,Stockholms laen,127 32,Sweden,5.929.888,1.793.896,Apartment,2.0,402.0,3,0,6,97.0,1,0,Low Price
4625,21293155,Cosy apartment in central north Soedermalm,20934689,2014-09-04,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 46,Sweden,5.931.891,1.807.162,Apartment,1.0,1001.0,3,0,7,97.0,1,0,High Price
4626,21309003,One room apartment with rooftop balcony in SoFo,146902994,2017-08-20,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 65,Sweden,5.930.895,1.807.735,Apartment,1.0,893.0,2,0,38,89.0,1,1,Middle Price
4631,21349883,Private Guest Room in spacious apartment,7138765,2013-06-26,"Aelvsjoe, Stockholms laen, Sweden",Aelvsjoe,Aelvsjoe,Stockholms laen,126 39,Sweden,5.928.508,1.801.455,Apartment,1.0,383.0,1,0,10,96.0,1,0,Low Price
4632,21364851,"My home is your home, Mi Casa es tu Casa. Welcome!",42160356,2015-08-21,"Haegersten-Liljeholmen, Stockholms laen, Sweden",Haegersten-Liljeholmen,Haegersten-Liljeholmen,Stockholms laen,129 57,Sweden,592.875,1.795.283,Apartment,1.0,235.0,2,334,11,91.0,3,0,Low Price
4635,21387791,Light and Bright ★ Seaside Studio ★ Metro Nearby,13984491,2014-04-07,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 38,Sweden,5.931.667,1.802.738,Apartment,0.0,893.0,3,238,23,94.0,5,1,Middle Price
4636,21390198,"2 bedroom apt, stunning view, close to Soedermalm",154945355,2017-10-17,"Enskede-Aarsta-Vantoer, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Enskede-Aarsta-Vantoer,Stockholms laen,120 38,Sweden,5.929.753,1.806.752,Apartment,2.0,1491.0,2,242,5,100.0,1,1,High Price
4637,21393711,The Pink Cottage - Stockholm!,20810499,2014-09-01,"Akalla, Stockholms laen, Sweden",Rinkeby-Kista,Akalla,Stockholms laen,164 79,Sweden,5.941.313,1.790.233,Townhouse,2.0,1050.0,1,294,29,96.0,3,1,High Price
4639,21396341,Nice apartment in Hornstull,2637635,2012-06-14,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 30,Sweden,5.931.796,1.803.735,Apartment,1.0,804.0,2,0,3,93.0,1,0,Middle Price
4641,21409092,Cosy apartment between CBD and Swedish nature,127232233,2017-04-23,"Hammarbyhoejden, Stockholms laen, Sweden",Skarpnaeck,Hammarbyhoejden,Stockholms laen,121 39,Sweden,5.929.197,1.809.738,Apartment,1.0,804.0,3,0,5,100.0,1,0,Middle Price
4642,21417388,Stockholm Multi-unit building,62254528,2016-03-09,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 26,Sweden,5.931.408,1.807.135,Apartment,2.0,981.0,1,0,40,84.0,1,3,Middle Price
4643,21418007,Cozy apartment next to Soedermalm,10118023,2013-11-19,"Hammarbyhoejden, Stockholms laen, Sweden",Skarpnaeck,Hammarbyhoejden,Stockholms laen,121 37,Sweden,5.929.589,1.809.323,Apartment,1.0,451.0,2,20,31,94.0,1,1,Low Price
4644,21422792,Great 1 bedroom apt. with balcony in city center.,55812340,2016-01-23,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 23,Sweden,5.932.816,1.804.674,Apartment,1.0,1599.0,2,0,2,100.0,2,0,High Price
4645,21423331,"Beautiful, centrally located apartment",39631481,2015-07-26,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 42,Sweden,5.934.191,1.803.311,Apartment,1.0,902.0,2,0,17,100.0,1,0,Middle Price
4647,21439482,Revamped Apartment in 400 Year-Old Building,8547277,2013-08-31,"Gamla Stan, Stockholms laen, Sweden",Soedermalm,Gamla Stan,Stockholms laen,111 30,Sweden,5.932.433,1.807.345,Apartment,0.0,1187.0,1,265,135,98.0,6,6,High Price
4648,21453589,Central 4-bed studio,91705445,2016-08-24,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 62,Sweden,5.934.206,1.803.991,Apartment,1.0,451.0,3,73,88,98.0,1,4,Low Price
4651,21465720,Cozy room on Sodermal,79261791,2016-06-22,"S, Stockholms l, Sweden",Soedermalm,S,Stockholms l,118 50,Sweden,5.931.735,1.805.469,Apartment,1.0,304.0,1,0,26,98.0,1,1,Low Price
4653,21471274,Cozy apartment with best location in Skanstull,17926486,2014-07-10,"S, Stockholms l, Sweden",Soedermalm,S,Stockholms l,118 62,Sweden,5.930.932,1.807.394,Apartment,1.0,402.0,1,0,33,97.0,1,1,Low Price
4654,21479191,Apartment close to the city and nature.,55227624,2016-01-19,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 48,Sweden,5.933.746,1.802.668,Apartment,1.0,804.0,3,0,10,100.0,1,0,Middle Price
4656,21482249,Central Located Hotel in the heart of Stockholm,116044429,2017-02-12,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,111 23,Sweden,5.933.693,1.805.221,Hotel,1.0,500.0,1,0,31,90.0,5,1,Middle Price
4659,21496419,Luxurious & Modern Scandinavian Loft - City Centre,34830092,2015-06-02,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 41,Sweden,5.933.121,1.802.617,Loft,2.0,1246.0,2,0,37,100.0,1,1,High Price
4661,21501008,Top modern 3 room apartment close to the city!,10257903,2013-11-25,"Enskede-Aarsta-Vantoer, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Enskede-Aarsta-Vantoer,Stockholms laen,122 32,Sweden,5.928.277,1.808.509,Apartment,2.0,804.0,4,0,2,100.0,1,0,Middle Price
4663,21516737,"Private single room,  kitchen & attached bathroom",156355753,2017-10-26,"Spaanga-Tensta, Stockholms laen, Sweden",Spaanga-Tensta,Spaanga-Tensta,Stockholms laen,163 61,Sweden,5.939.008,1.790.876,Apartment,1.0,177.0,1,0,2,100.0,1,0,Low Price
4666,21534340,Lovely private room in Old Town,39320489,2015-07-23," Gamla Stan, Stockholms laen, Sweden",Soedermalm,Gamla Stan,Stockholms laen,111 27,Sweden,5.932.456,1.806.901,Apartment,1.0,961.0,2,0,97,97.0,1,4,Middle Price
4667,21535401,Cosy apartment 10 min from Soedermalm,10257900,2013-11-25,"Skarpnaecks Gaard, Stockholms laen, Sweden",Skarpnaeck,Skarpnaecks Gaard,Stockholms laen,128 38,Sweden,5.927.811,1.811.528,Apartment,3.0,804.0,3,0,5,96.0,1,0,Middle Price
4668,21543558,Kvadratsmart laegenhet i Vasastan,78569344,2016-06-19,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 45,Sweden,5.935.001,1.804.445,Apartment,0.0,647.0,2,0,4,90.0,1,0,Middle Price
4670,21554182,Modern and fresh apartment in the city,34893404,2015-06-03,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,117 37,Sweden,5.931.827,1.802.941,Apartment,0.0,981.0,2,0,24,88.0,1,1,Middle Price
4672,21557089,Cosy & stylish two-room apartment - great location,57773945,2016-02-07,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 67,Sweden,5.930.627,1.807.765,Apartment,1.0,804.0,2,0,26,99.0,1,1,Middle Price
4673,21558220,"Aelvsjoemaessan, Stockholm city, charming studio",7136111,2013-06-26,"Aelvsjoe, Stockholms laen, Sweden",Aelvsjoe,Aelvsjoe,Stockholms laen,125 58,Sweden,592.775,1.798.721,Apartment,1.0,500.0,2,0,1,100.0,2,0,Middle Price
4675,21574785,3 rooms in central Stockholm,34351097,2015-05-27,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,111 37,Sweden,5.933.671,1.806.499,Apartment,1.0,1305.0,2,0,4,100.0,1,0,High Price
4678,21586317,"Small apartment in Bandhagen, 17 min to Centralen",16003508,2014-05-26,"Enskede-Aarsta-Vantoer, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Enskede-Aarsta-Vantoer,Stockholms laen,124 32,Sweden,5.926.903,1.805.053,Apartment,1.0,392.0,2,151,17,98.0,1,0,Low Price
4679,21586593,Luxury 52m2 home 550meters from Central Station,14269202,2014-04-14,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 24,Sweden,5.932.862,1.804.976,Apartment,1.0,1001.0,3,0,4,95.0,1,0,High Price
4680,21586906,Enjoyable Apartment In AAA location,140912731,2017-07-17,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,111 27,Sweden,5.932.308,1.807.237,Apartment,2.0,1903.0,1,323,95,85.0,2,4,High Price
4681,21595958,Midcentury vintage styled apartment in the city,13345283,2014-03-20,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 39,Sweden,5.933.228,1.803.154,Apartment,2.0,1805.0,3,211,4,95.0,2,0,High Price
4682,21603603,Luxurious large room - 33 m2- in best location.,153778381,2017-10-08,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,114 60,Sweden,5.933.675,1.808.845,Apartment,1.0,638.0,2,0,78,91.0,1,3,Middle Price
4683,21609809,Cozy apartment close to the City,157191781,2017-11-02,"Haegersten-Liljeholmen, Stockholms laen, Sweden",Haegersten-Liljeholmen,Haegersten-Liljeholmen,Stockholms laen,126 35,Sweden,5.930.011,1.800.651,Apartment,1.0,598.0,5,0,11,95.0,1,0,Middle Price
4685,21617056,Large modern apartment in Oestermalm Djurgaarden,382220,2011-02-08,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,115 28,Sweden,5.934.239,1.811.079,Apartment,2.0,1001.0,21,0,1,100.0,1,0,High Price
4687,21645077,Awesome flat in Stockholm..Hornstull,11098285,2014-01-07,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 36,Sweden,5.931.716,1.803.015,Apartment,1.0,902.0,3,343,22,90.0,1,1,Middle Price
4689,21662438,Apartment in central Stockholm for a perfect stay,157668845,2017-11-06,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 40,Sweden,5.933.464,1.802.837,Apartment,1.0,1099.0,3,27,9,100.0,1,0,High Price
4690,21669443,Bright 20th century room in central Stockholm,84833669,2016-07-20,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,11327,Sweden,5.934.229,180.414,Apartment,1.0,951.0,3,0,22,99.0,1,1,Middle Price
4692,21678143,Nice and cozy room 10 minutes from CENTRAL,47690629,2015-10-29,"Oestermalm, Stockholms laen, Sweden",Norrmalm,Oestermalm,Stockholms laen,114 23,Sweden,5.934.813,1.805.882,Apartment,1.0,402.0,2,0,1,80.0,1,0,Low Price
4693,21679628,Modern studion with panorama view of Stockholm,5144885,2013-02-19,"Spaanga-Tensta, Stockholms laen, Sweden",Spaanga-Tensta,Spaanga-Tensta,Stockholms laen,163 44,Sweden,5.937.291,1.791.811,Apartment,2.0,598.0,2,0,8,96.0,1,0,Middle Price
4694,21688744,Cozy studio on Soedermalm with perfect location.,6273499,2013-05-07,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 66,Sweden,5.930.923,1.808.585,Apartment,0.0,1197.0,3,350,18,100.0,1,0,High Price
4695,21688756,2 room apartment in Southern Stockholm,138700330,2017-07-05,"Haegersten-Liljeholmen, Stockholms laen, Sweden",Haegersten-Liljeholmen,Haegersten-Liljeholmen,Stockholms laen,126 42,Sweden,5.928.941,1.798.831,Apartment,1.0,500.0,2,0,1,80.0,1,0,Middle Price
4698,21736351,Central Soedermalm flat for family city trip,41293822,2015-08-12,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 53,Sweden,5.931.622,180.539,Apartment,2.0,1305.0,4,0,13,100.0,1,0,High Price
4699,21736405,"Hammarby Sjoestad, whole apartment, modern comfort",43748158,2015-09-09,"Soedermalm, Stockholms laen, Sweden",Skarpnaeck,Soedermalm,Stockholms laen,120 68,Sweden,5.930.519,1.811.022,Apartment,3.0,863.0,6,71,7,91.0,1,0,Middle Price
4702,21745492,Top quality 3 bed 120m2 in SoFo right by metro,1952120,2012-03-18,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 21,Sweden,5.931.596,1.807.336,Apartment,3.0,2001.0,5,44,5,100.0,1,0,High Price
4703,21749360,"big, light room in the middle of  citycenter",102105476,2016-11-01,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 27,Sweden,5.933.013,1.804.668,Apartment,1.0,461.0,1,0,6,96.0,1,0,Low Price
4704,21750697,1 bedroom apartment in Birkastaden,11253795,2014-01-13,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 36,Sweden,5.933.997,1.803.298,Apartment,1.0,598.0,1,0,1,100.0,1,0,Middle Price
4705,21752432,"Central, luminous, right next to the metro station",99505618,2016-10-13,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 43,Sweden,5.933.112,1.801.452,Apartment,1.0,598.0,2,11,25,98.0,1,1,Middle Price
4706,21755617,Bekvaem laegenhet i Hoegdalen,89399476,2016-08-11,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,124 58,Sweden,5.926.056,1.804.432,Apartment,1.0,196.0,1,0,14,94.0,1,0,Low Price
4708,21767361,1 bedroom apartment close to city center,33193871,2015-05-12,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,115 60,Sweden,5.934.394,1.811.214,Apartment,1.0,638.0,7,0,1,100.0,1,0,Middle Price
4709,21767802,The Woodland Cemetery chain house,641617,2011-05-30,"Skarpnaecks Gaard, Stockholms laen, Sweden",Skarpnaeck,Skarpnaecks Gaard,Stockholms laen,128 38,Sweden,5.927.602,1.811.135,Townhouse,4.0,1197.0,2,16,20,97.0,1,1,High Price
4710,21768693,Cozy green apartment in popular Vasastan,11893995,2014-02-03,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 24,Sweden,593.384,1.804.855,Apartment,1.0,1501.0,2,86,17,91.0,1,0,High Price
4713,21783757,Boende i Aelvsjoe,158729758,2017-11-14,"Aelvsjoe, Stockholms laen, Sweden",Aelvsjoe,Aelvsjoe,Stockholms laen,125 45,Sweden,5.927.889,1.800.156,Apartment,0.0,804.0,1,0,5,96.0,1,0,Middle Price
4716,21793613,Top Location Apartment,158816263,2017-11-15,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,111 27,Sweden,5.932.501,1.806.994,Apartment,1.0,1805.0,1,309,153,95.0,2,7,High Price
4719,21799389,Charming place in Vasastan near Stureplan,6470431,2013-05-19,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 54,Sweden,5.935.059,1.805.697,Apartment,1.0,520.0,4,0,6,93.0,1,0,Middle Price
4722,21813239,Charming central apartment,1419294,2011-11-18,"Oestermalm, Stockholms laen, Sweden",Norrmalm,Oestermalm,Stockholms laen,114 20,Sweden,5.934.523,1.806.087,Apartment,1.0,1805.0,1,184,7,100.0,1,0,High Price
4723,21820648,Spacious & modern apartment with stylish interior,21121377,2014-09-09,"Hammarbyhoejden, Stockholms laen, Sweden",Skarpnaeck,Hammarbyhoejden,Stockholms laen,121 38,Sweden,5.929.451,1.809.737,Apartment,3.0,2001.0,5,0,1,100.0,1,0,High Price
4724,21822224,"Central studio apt, Soedermalm",158388832,2017-11-12,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 28,Sweden,5.931.827,1.804.357,Apartment,1.0,471.0,2,0,2,100.0,1,0,Low Price
4725,21822790,Bright and cozy apartment,73505853,2016-05-23,"Hammarbyhoejden, Stockholms laen, Sweden",Skarpnaeck,Hammarbyhoejden,Stockholms laen,121 37,Sweden,5.929.579,1.809.628,Apartment,1.0,696.0,6,0,4,100.0,1,0,Middle Price
4728,21837261,A Cozy Apartment in Soedermalm,140625539,2017-07-15,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 64,Sweden,5.931.371,1.806.041,Apartment,1.0,1001.0,2,0,14,90.0,1,0,High Price
4729,21842041,Modern Flat in Hip Soedermalm,13984491,2014-04-07,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,117 38,Sweden,5.931.654,1.802.674,Apartment,0.0,598.0,3,160,3,87.0,5,0,Middle Price
4735,21860345,Beautiful apartment in Sankt Eriksplan,78577921,2016-06-19,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 21,Sweden,5.933.846,1.804.036,Apartment,1.0,1001.0,1,0,9,100.0,1,0,High Price
4737,21875671,"Apartment Stockholm 2 room, Haesselby",148509448,2017-08-31,"Stockholm, Stockholms laen, Sweden",Haesselby-Vaellingby,Stockholm,Stockholms laen,165 52,Sweden,5.936.739,1.784.736,Apartment,1.0,353.0,2,126,14,96.0,1,0,Low Price
4739,21881862,In the heart of SoFo- Renovated & Modern Apartment,159625468,2017-11-21,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 38,Sweden,5.931.066,1.807.811,Apartment,1.0,991.0,2,0,8,95.0,1,0,Middle Price
4741,21889610,Location! Giant Penthouse Style Apt + Terrace,159706843,2017-11-22,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,111 44,Sweden,5.933.441,1.806.901,Apartment,1.0,1648.0,1,52,67,90.0,1,3,High Price
4743,21903324,Modern Stockholm apartment for the social family,155058254,2017-10-18,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 32,Sweden,593.329,1.803.634,Apartment,2.0,1403.0,6,0,16,99.0,1,0,High Price
4744,21911764,Trendy apartment close to city centre,6700662,2013-06-02,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 47,Sweden,5.934.511,1.805.173,Apartment,2.0,981.0,4,0,3,100.0,1,0,Middle Price
4745,21911973,Rum att hyra i 3ai central Fridhemsplan,149118301,2017-09-04,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 42,Sweden,5.933.007,1.802.458,Apartment,1.0,1089.0,1,57,6,100.0,1,2,High Price
4746,21918665,"Central, cozy and modern!",38680227,2015-07-16,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,111 27,Sweden,5.932.435,1.806.864,Apartment,1.0,304.0,1,33,171,96.0,1,8,Low Price
4747,21931673,High-end Stockholm flat near SOFO,113714487,2017-01-28,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 69,Sweden,5.930.858,1.806.576,Apartment,1.0,804.0,2,298,72,98.0,1,3,Middle Price
4749,21940262,"Oestermalm, Karlaplan appartment",67553938,2016-04-17,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,115 24,Sweden,5.933.899,1.808.873,Apartment,3.0,2197.0,5,0,2,100.0,1,0,High Price
4751,21946003,Best location in Soedermalm,160182237,2017-11-26,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 28,Sweden,593.153,180.912,Apartment,1.0,451.0,10,0,3,100.0,1,0,Low Price
4755,21965099,Stylish & spacious apartment in central Stockholm,14464676,2014-04-19,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 21,Sweden,5.933.053,1.803.864,Apartment,1.0,902.0,5,0,22,98.0,1,1,Middle Price
4756,21968418,Simple Studio Apartment 20mins from Inner City!,67613555,2016-04-17,"Farsta, Stockholms laen, Sweden",Farsta,Farsta,Stockholms laen,122 60,Sweden,5.926.972,1.808.398,Apartment,0.0,304.0,2,0,5,96.0,1,0,Low Price
4760,21995191,Spacious apartment with 3 rooms,160553803,2017-11-29,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 44,Sweden,5.934.785,1.804.365,Apartment,2.0,951.0,2,0,31,92.0,1,1,Middle Price
4761,21997515,Nyrenoverad laegenhet 20min fraan sthml Centrum,47775412,2015-10-30,"Haesselby-Vaellingby, Stockholms laen, Sweden",Haesselby-Vaellingby,Haesselby-Vaellingby,Stockholms laen,162 61,Sweden,5.936.373,1.787.021,Apartment,2.0,451.0,1,0,11,100.0,1,0,Low Price
4763,22007752,Enplans villa i aelvsjoe,148500220,2017-08-31,"Enskede-Aarsta-Vantoer, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Enskede-Aarsta-Vantoer,Stockholms laen,125 40,Sweden,5.927.212,1.802.286,House,3.0,1099.0,1,0,4,95.0,1,0,High Price
4764,22027636,Cozy apartment near Vinterviken,1647984,2012-01-24,"Haegersten-Liljeholmen, Stockholms laen, Sweden",Haegersten-Liljeholmen,Haegersten-Liljeholmen,Stockholms laen,126 55,Sweden,5.931.149,180.015,Apartment,1.0,853.0,8,0,5,96.0,1,0,Middle Price
4765,22046275,Scandinavian design in cultural Sofo,35087705,2015-06-05,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,116 23,Sweden,5.931.177,180.792,Condominium,0.0,1030.0,4,37,16,91.0,1,0,High Price
4766,22056304,Cozy flat in Stockholm,76194460,2016-06-06,"Stockholm, Stockholms laen, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholms laen,126 38,Sweden,5.929.428,1.799.878,Apartment,1.0,696.0,4,6,4,90.0,1,0,Middle Price
4767,22062290,Newly renovated town-house,25671883,2015-01-06,"Haesselby-Vaellingby, Stockholms laen, Sweden",Haesselby-Vaellingby,Haesselby-Vaellingby,Stockholms laen,165 58,Sweden,5.936.957,1.783.226,Townhouse,3.0,1246.0,3,78,37,88.0,1,1,High Price
4768,22063610,Studio in the center of Stockholm,24188209,2014-11-26,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,118 61,Sweden,5.930.796,1.806.786,Apartment,0.0,745.0,1,0,4,95.0,1,0,Middle Price
4769,22065026,apt close to subway,94769235,2016-09-12,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,124 67,Sweden,5.926.101,1.802.816,Apartment,1.0,304.0,1,175,3,93.0,1,0,Low Price
4770,22071467,Luxury apartment in central Stockholm townhouse,26061559,2015-01-13,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,114 27,Sweden,5.934.484,1.806.838,Apartment,1.0,1403.0,1,0,7,91.0,1,0,High Price
4771,22072720,Big room in the heart of Stockholm.,156032158,2017-10-24,"Norrmalm, Stockholms laen, Sweden",Norrmalm,Norrmalm,Stockholms laen,113 59,Sweden,5.934.039,1.805.878,Apartment,1.0,902.0,2,150,81,95.0,2,3,Middle Price
4773,22077158,"Cozy apartment on Soedermalm, Stockholm city",161274034,2017-12-04,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 31,Sweden,5.930.918,1.808.525,Apartment,1.0,696.0,3,0,15,95.0,1,0,Middle Price
4775,22084213,Charming apartment in Kungsholmen.,27233563,2015-02-04,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,11258,Sweden,5.932.797,1.801.172,Apartment,1.0,530.0,4,0,21,98.0,1,2,Middle Price
4776,22099687,Modern studio apartment near Stockholm's IT-hub.,29087582,2015-03-10,"Spaanga-Tensta, Stockholms laen, Sweden",Spaanga-Tensta,Spaanga-Tensta,Stockholms laen,163 62,Sweden,5.939.234,1.791.728,Guest suite,1.0,500.0,1,0,15,94.0,1,0,Middle Price
4777,22103736,Modern and cozy apartment in central Stockholm,62097713,2016-03-08,"Kungsholmen, Stockholms laen, Sweden",Kungsholmen,Kungsholmen,Stockholms laen,112 53,Sweden,5.933.405,1.800.299,Apartment,1.0,951.0,2,0,59,97.0,1,2,Middle Price
4778,22112522,A modern apartment in the centre of Stockholm,24234762,2014-11-27,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 55,Sweden,5.934.857,1.805.727,Apartment,1.0,795.0,4,0,1,100.0,1,0,Middle Price
4779,22114562,Top modern apartment in central Stockholm.,161559147,2017-12-06,"Oestermalm, Stockholms laen, Sweden",Oestermalm,Oestermalm,Stockholms laen,114 24,Sweden,5.934.692,1.806.531,Apartment,0.0,402.0,1,61,76,86.0,1,3,Low Price
4780,22119008,Cozy family apartment close to central Stockholm,60855522,2016-02-29,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,120 53,Sweden,5.930.123,1.805.566,Apartment,2.0,647.0,2,0,5,100.0,1,0,Middle Price
4781,22134471,Modern villa just outside Stockholm,148262844,2017-08-29,"Aelvsjoe, Stockholms laen, Sweden",Aelvsjoe,Aelvsjoe,Stockholms laen,125 58,Sweden,5.928.147,1.798.103,Villa,4.0,2197.0,2,130,14,97.0,1,0,High Price
4782,22141667,"Private room near south town, subway and water",156938061,2017-10-31,"Haegersten-Liljeholmen, Stockholms laen, Sweden",Haegersten-Liljeholmen,Haegersten-Liljeholmen,Stockholms laen,126 31,Sweden,5.929.604,1.800.964,Apartment,1.0,353.0,1,0,1,80.0,1,0,Low Price
4783,22143085,Lovley flat in AAA location,161543959,2017-12-06,"Soedermalm, Stockholms laen, Sweden",Soedermalm,Soedermalm,Stockholms laen,111 27,Sweden,5.932.242,1.807.317,Apartment,3.0,3198.0,2,290,88,93.0,1,4,High Price
4784,22144030,Big room with a patio close to downtown,6869837,2013-06-12,"Soedermalm, Stockholms laen, Sweden",Skarpnaeck,Soedermalm,Stockholms laen,120 70,Sweden,5.930.582,1.810.983,Apartment,1.0,304.0,2,0,38,100.0,1,1,Low Price
