,id,name,host_id,host_since,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_listings,reviews_per_month,price_group
1888,9233181,"Charming, recently renovated house",47994974,2015-11-02,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 63,Sweden,5.927.873,1.808.473,House,5.0,1903.0,7,0,5,100.0,1,0,High Price
1889,9243174,Luxury apartment in Stockholm,48039312,2015-11-03,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,114 59,Sweden,5.934.033,1.808.815,Apartment,3.0,3512.0,2,355,74,96.0,1,1,High Price
1890,9250521,Beautiful flat by the canal in trendy Hornstull,17032016,2014-06-20,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,117 30,Sweden,5.931.878,1.802.796,Apartment,1.0,961.0,1,10,106,89.0,1,2,Middle Price
1891,9268145,Cosy 89m2 in SOFO with altana 40m2,48140673,2015-11-04,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 29,Sweden,5.931.406,1.808.077,Apartment,3.0,2501.0,7,336,30,93.0,1,0,High Price
1892,9268164,Newly refurbished in Old Town,48139894,2015-11-04,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,111 31,Sweden,5.932.505,1.807.267,Apartment,1.0,1648.0,3,274,129,97.0,1,2,High Price
1893,9268534,Apartment with balcony towards a nice garden,22281268,2014-10-08,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 62,Sweden,5.932.451,1.800.943,Apartment,1.0,902.0,2,37,6,97.0,1,1,Middle Price
1897,9329952,Family-friendly & close to city,3401872,2012-08-28,"Stockholm, Stockholms laen, Sweden",Aelvsjoe,Stockholm,Stockholms laen,125 35,Sweden,5.928.243,1.802.774,House,3.0,1501.0,5,0,2,100.0,1,0,High Price
1899,9340112,"City center, fantastic view",48475946,2015-11-08,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 24,Sweden,5.932.944,1.804.674,Apartment,1.0,1305.0,3,0,11,96.0,1,0,High Price
1900,9344703,Sunny room 20 mins from the city,10072824,2013-11-17,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,124 73,Sweden,5.926.329,1.801.425,Apartment,2.0,530.0,1,47,134,99.0,1,3,Middle Price
1901,9363571,"Awesome Flat, Location & Hosts",4244963,2012-11-26,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,111 27,Sweden,5.932.365,1.806.847,Apartment,1.0,745.0,1,0,4,100.0,1,0,Middle Price
1902,9365552,Heart of Stockholm,48595832,2015-11-09,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,111 52,Sweden,5.932.899,1.806.318,Apartment,2.0,1766.0,1,0,2,100.0,1,0,High Price
1903,9374706,Two rooms in a big flat near town,31717785,2015-04-22,"Stockholm, Stockholms laen, Sweden",Skarpnaeck,Stockholm,Stockholms laen,121 54,Sweden,5.928.826,1.811.181,Apartment,2.0,804.0,1,331,8,98.0,3,0,Middle Price
1904,9380854,One big room in a big nice flat,31717785,2015-04-22,"Stockholm, Stockholms laen, Sweden",Skarpnaeck,Stockholm,Stockholms laen,121 54,Sweden,5.928.674,1.811.129,Apartment,1.0,441.0,1,336,42,97.0,3,0,Low Price
1905,9386921,Downtown Victorian Small Room,36840756,2015-06-27,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 24,Sweden,5.933.859,1.804.825,Apartment,1.0,598.0,1,0,103,93.0,2,2,Middle Price
1906,9387886,Nice apartment in trendy Hornstull,48698951,2015-11-10,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,117 30,Sweden,59.319,1.803.494,Apartment,1.0,1001.0,2,0,3,100.0,1,0,High Price
1907,9389253,Well-planned City apartment (Soedermalm-SoFo),48704347,2015-11-10,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 42,Sweden,5.930.982,1.808.827,Apartment,1.0,598.0,4,0,36,98.0,1,0,Middle Price
1908,9389521,Top Location & Sunny Balcony,14977403,2014-05-01,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 27,Sweden,5.931.223,1.806.937,Apartment,1.0,893.0,5,0,28,96.0,1,0,Middle Price
